wandb: Detected [huggingface_hub.inference] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|          | 0/100 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                
{'loss': 65184.0, 'learning_rate': 1.6135921418712959e-06, 'loss_full': 65376.0, 'loss_slot_feat': 0.00262451171875, 'loss_slot_attn': 0.37890625, 'loss_stop': -0.900390625, 'loss_div': 0.0, 'loss_inpaint': 55856.5, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 58176.0, 'learning_rate': 1.4938160786375571e-06, 'loss_full': 58240.0, 'loss_slot_feat': 0.0026092529296875, 'loss_slot_attn': 0.208984375, 'loss_stop': -0.86328125, 'loss_div': 0.0, 'loss_inpaint': 40992.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 120064.0, 'learning_rate': 1.3778739760445552e-06, 'loss_full': 121600.0, 'loss_slot_feat': 0.00258636474609375, 'loss_slot_attn': 0.5654296875, 'loss_stop': -0.919921875, 'loss_div': 0.0, 'loss_inpaint': 130016.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 9484.0, 'learning_rate': 1.2658926150792321e-06, 'loss_full': 9767.0, 'loss_slot_feat': 0.00264739990234375, 'loss_slot_attn': 0.212158203125, 'loss_stop': -0.904296875, 'loss_div': 0.0, 'loss_inpaint': 45576.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 169472.0, 'learning_rate': 1.157994445715706e-06, 'loss_full': 168448.0, 'loss_slot_feat': 0.00267791748046875, 'loss_slot_attn': 1.50244140625, 'loss_stop': -0.86328125, 'loss_div': 0.0, 'loss_inpaint': 153088.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 65141.5, 'learning_rate': 1.0542974530180327e-06, 'loss_full': 65778.0, 'loss_slot_feat': 0.00255584716796875, 'loss_slot_attn': 0.26904296875, 'loss_stop': -0.904296875, 'loss_div': 0.0, 'loss_inpaint': 80752.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 1126.5, 'learning_rate': 9.549150281252633e-07, 'loss_full': 1093.5, 'loss_slot_feat': 0.002593994140625, 'loss_slot_attn': 0.157470703125, 'loss_stop': -0.9140625, 'loss_div': 0.0, 'loss_inpaint': 17312.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 70099.0, 'learning_rate': 8.599558442598998e-07, 'loss_full': 72116.0, 'loss_slot_feat': 0.00257110595703125, 'loss_slot_attn': 0.1295166015625, 'loss_stop': -0.890625, 'loss_div': 0.0, 'loss_inpaint': 35749.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 11907.75, 'learning_rate': 7.695237378953224e-07, 'loss_full': 12388.25, 'loss_slot_feat': 0.0026702880859375, 'loss_slot_attn': 0.974609375, 'loss_stop': -0.869140625, 'loss_div': 0.0, 'loss_inpaint': 74752.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 57344.0, 'learning_rate': 6.837175952121305e-07, 'loss_full': 56704.0, 'loss_slot_feat': 0.00257110595703125, 'loss_slot_attn': 0.1370849609375, 'loss_stop': -0.888671875, 'loss_div': 0.0, 'loss_inpaint': 9584.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
