image_id,dataset_idx,object_idx,layer,distance_bin,patch_count,cosine_distance,relative_l2
1268,10,1,27,near_2_4,85,0.11140051484107971,0.36185553669929504
1268,10,1,27,mid_5_8,189,0.08448267728090286,0.2937118411064148
1268,10,1,27,far_gt8,699,0.04027263820171356,0.20154516398906708
1296,11,2,0,inside,53,0.017787707969546318,0.17791764438152313
1296,11,2,0,ring_1,23,2.8506569549335836e-08,0.0
1296,11,2,0,near_2_4,54,-1.1037897262866636e-09,0.0
1296,11,2,0,mid_5_8,98,2.0070951123329905e-08,0.0
1296,11,2,0,far_gt8,796,1.0483229395674698e-08,0.0
1296,11,2,1,inside,53,0.026287177577614784,0.21951620280742645
1296,11,2,1,ring_1,23,1.4074470527702942e-05,0.004960165824741125
1296,11,2,1,near_2_4,54,8.87226178747369e-06,0.004041701555252075
1296,11,2,1,mid_5_8,98,4.8802821766003035e-06,0.003047524020075798
1296,11,2,1,far_gt8,796,4.15308113588253e-06,0.002614167518913746
1296,11,2,2,inside,53,0.11098107695579529,0.45760151743888855
1296,11,2,2,ring_1,23,0.003449738025665283,0.07460794597864151
1296,11,2,2,near_2_4,54,0.00036260817432776093,0.024853624403476715
1296,11,2,2,mid_5_8,98,0.00018249725690111518,0.017950324341654778
1296,11,2,2,far_gt8,796,9.17589568416588e-05,0.012639814987778664
1296,11,2,3,inside,53,0.24919675290584564,0.6963761448860168
1296,11,2,3,ring_1,23,0.014579054899513721,0.15721412003040314
1296,11,2,3,near_2_4,54,0.0013395636342465878,0.04443087428808212
1296,11,2,3,mid_5_8,98,0.0006309814634732902,0.0308365561068058
1296,11,2,3,far_gt8,796,0.00022547059052158147,0.018895041197538376
1296,11,2,4,inside,53,0.33434629440307617,0.8086992502212524
1296,11,2,4,ring_1,23,0.029354063794016838,0.21992990374565125
1296,11,2,4,near_2_4,54,0.0018525774357840419,0.05183709040284157
1296,11,2,4,mid_5_8,98,0.000880579580552876,0.03676057979464531
1296,11,2,4,far_gt8,796,0.00033261862699873745,0.022452346980571747
1296,11,2,5,inside,53,0.38209083676338196,0.8652372360229492
1296,11,2,5,ring_1,23,0.041114985942840576,0.259309858083725
1296,11,2,5,near_2_4,54,0.003126162104308605,0.06721623241901398
1296,11,2,5,mid_5_8,98,0.001416439888998866,0.04636427387595177
1296,11,2,5,far_gt8,796,0.0005241088219918311,0.02673342265188694
1296,11,2,6,inside,53,0.45926526188850403,0.9468693733215332
1296,11,2,6,ring_1,23,0.06706447899341583,0.3315086364746094
1296,11,2,6,near_2_4,54,0.0043958392925560474,0.08022970706224442
1296,11,2,6,mid_5_8,98,0.0018646711250767112,0.05299471691250801
1296,11,2,6,far_gt8,796,0.0007379382732324302,0.030482809990644455
1296,11,2,7,inside,53,0.5213017463684082,1.008154034614563
1296,11,2,7,ring_1,23,0.09189412742853165,0.388323575258255
1296,11,2,7,near_2_4,54,0.006545372772961855,0.09645260870456696
1296,11,2,7,mid_5_8,98,0.002978457370772958,0.06210624799132347
1296,11,2,7,far_gt8,796,0.0009671358275227249,0.032470639795064926
1296,11,2,8,inside,53,0.4983920753002167,0.9813982844352722
1296,11,2,8,ring_1,23,0.09951172769069672,0.40067437291145325
1296,11,2,8,near_2_4,54,0.007870588451623917,0.1032661572098732
1296,11,2,8,mid_5_8,98,0.004077601712197065,0.06758210808038712
1296,11,2,8,far_gt8,796,0.001233434653840959,0.03455488011240959
1296,11,2,9,inside,53,0.5328200459480286,1.0107377767562866
1296,11,2,9,ring_1,23,0.12018405646085739,0.43645551800727844
1296,11,2,9,near_2_4,54,0.012083488516509533,0.12477688491344452
1296,11,2,9,mid_5_8,98,0.005899198353290558,0.07717128843069077
1296,11,2,9,far_gt8,796,0.0016125221736729145,0.03685751184821129
1296,11,2,10,inside,53,0.5316111445426941,1.0066969394683838
1296,11,2,10,ring_1,23,0.13270004093647003,0.45127034187316895
1296,11,2,10,near_2_4,54,0.017471523955464363,0.14102783799171448
1296,11,2,10,mid_5_8,98,0.008585873059928417,0.08537238836288452
1296,11,2,10,far_gt8,796,0.0018608522368595004,0.03818242624402046
1296,11,2,11,inside,53,0.549589991569519,1.0198755264282227
1296,11,2,11,ring_1,23,0.15722623467445374,0.48622649908065796
1296,11,2,11,near_2_4,54,0.024249112233519554,0.15971268713474274
1296,11,2,11,mid_5_8,98,0.01065284013748169,0.0947699323296547
1296,11,2,11,far_gt8,796,0.002176256151869893,0.0421755388379097
1296,11,2,12,inside,53,0.5682615041732788,1.0375422239303589
1296,11,2,12,ring_1,23,0.19653618335723877,0.5397258996963501
1296,11,2,12,near_2_4,54,0.03268503397703171,0.18511463701725006
1296,11,2,12,mid_5_8,98,0.013384095393121243,0.10952670872211456
1296,11,2,12,far_gt8,796,0.0026115018408745527,0.04755431413650513
1296,11,2,13,inside,53,0.6219816207885742,1.0848418474197388
1296,11,2,13,ring_1,23,0.2346518188714981,0.5864366292953491
1296,11,2,13,near_2_4,54,0.04176308214664459,0.20511116087436676
1296,11,2,13,mid_5_8,98,0.022076012566685677,0.1300608217716217
1296,11,2,13,far_gt8,796,0.003228222718462348,0.05258864909410477
1296,11,2,14,inside,53,0.6321778893470764,1.0960054397583008
1296,11,2,14,ring_1,23,0.25870057940483093,0.6173216104507446
1296,11,2,14,near_2_4,54,0.04903526231646538,0.22093865275382996
1296,11,2,14,mid_5_8,98,0.029337642714381218,0.1475943922996521
1296,11,2,14,far_gt8,796,0.004355530720204115,0.05927681922912598
1296,11,2,15,inside,53,0.6624187231063843,1.1207329034805298
1296,11,2,15,ring_1,23,0.28497985005378723,0.6446876525878906
1296,11,2,15,near_2_4,54,0.052965421229600906,0.22602936625480652
1296,11,2,15,mid_5_8,98,0.034804102033376694,0.15843959152698517
1296,11,2,15,far_gt8,796,0.005219398532062769,0.06281229853630066
1296,11,2,16,inside,53,0.6935917735099792,1.1488003730773926
1296,11,2,16,ring_1,23,0.2921326160430908,0.6496415138244629
1296,11,2,16,near_2_4,54,0.05688578635454178,0.2364809215068817
1296,11,2,16,mid_5_8,98,0.04185240715742111,0.1747971922159195
1296,11,2,16,far_gt8,796,0.006232657469809055,0.06828460842370987
1296,11,2,17,inside,53,0.6719428896903992,1.131622314453125
1296,11,2,17,ring_1,23,0.2837904095649719,0.6414284110069275
1296,11,2,17,near_2_4,54,0.05814172700047493,0.2401975691318512
1296,11,2,17,mid_5_8,98,0.043925683945417404,0.18071015179157257
1296,11,2,17,far_gt8,796,0.006962861865758896,0.07226313650608063
1296,11,2,18,inside,53,0.6918476223945618,1.1483935117721558
1296,11,2,18,ring_1,23,0.3118763864040375,0.6710619330406189
1296,11,2,18,near_2_4,54,0.06726518273353577,0.2559505105018616
1296,11,2,18,mid_5_8,98,0.048870690166950226,0.19030550122261047
1296,11,2,18,far_gt8,796,0.008306529372930527,0.07617750763893127
1296,11,2,19,inside,53,0.7104758620262146,1.1658341884613037
1296,11,2,19,ring_1,23,0.3197343647480011,0.6846500039100647
1296,11,2,19,near_2_4,54,0.06945443153381348,0.26492568850517273
1296,11,2,19,mid_5_8,98,0.05014433711767197,0.19619661569595337
1296,11,2,19,far_gt8,796,0.009343630634248257,0.08220090717077255
1296,11,2,20,inside,53,0.6998001933097839,1.1577703952789307
1296,11,2,20,ring_1,23,0.312425434589386,0.6763922572135925
1296,11,2,20,near_2_4,54,0.07458330690860748,0.27042660117149353
1296,11,2,20,mid_5_8,98,0.05235835164785385,0.20108294486999512
1296,11,2,20,far_gt8,796,0.01082046702504158,0.08775901049375534
1296,11,2,21,inside,53,0.6975081562995911,1.155657172203064
